Date,Weather
2015-05-1,Cloudy
2015-05-2,Fair
2015-05-3,Sunny
2015-05-4,Sunny
2015-05-5,Sunny
2015-05-6,Fair
2015-05-7,Sunny
2015-05-8,Sunny
2015-05-9,Fair
2015-05-10,Sunny
2015-05-11,Sunny
2015-05-12,Sunny
2015-05-13,Fair
2015-05-14,Fair
2015-05-15,Fair
2015-05-16,Sunny
2015-05-17,Sunny
2015-05-18,Cloudy
2015-05-19,Cloudy
2015-05-20,Fair
2015-05-21,Cloudy
2015-05-22,Sunny
2015-05-23,Fair
2015-05-24,Sunny
2015-05-25,Sunny
2015-05-26,Sunny
2015-05-27,Sunny
2015-05-28,Sunny
2015-05-29,Sunny
2015-05-30,Sunny
2015-05-31,Sunny
