Date,Weather
2014-04-01,Mostly Sunny
2014-04-02,Cloudy 
2014-04-03,Cloudy
2014-04-04,Scattered Showers
2014-04-05,Cloudy
2014-04-06,Mostly Sunny
2014-04-07,Cloudy
2014-04-08,Scattered Showers
2014-04-09,Mostly Sunny
2014-04-10,Mostly Sunny
2014-04-11,Cloudy
2014-04-12,Partly Cloudy
2014-04-13,Mostly Cloudy
2014-04-14,Cloudy
2014-04-15,Scattered Showers
2014-04-16,Mostly Sunny
2014-04-17,Mostly Cloudy
2014-04-18,Cloudy
2014-04-19,Mostly Cloudy
2014-04-20,Mostly Cloudy
2014-04-21,Partly Cloudy
2014-04-22,Cloudy
2014-04-23,Mostly Cloudy
2014-04-24,Mostly Sunny
2014-04-25,Mostly Cloudy
2014-04-26,Cloudy
2014-04-27,Mostly Cloudy
2014-04-28,Mostly Cloudy
2014-04-29,Cloudy
2014-04-30,Heavy Rain
