Date,Weather
2014-08-01,Cloudy
2014-08-02,Cloudy
2014-08-03,Mostly Cloudy
2014-08-04,Mostly Cloudy
2014-08-05,Partly Cloudy
2014-08-06,Mostly Cloudy
2014-08-07,Partly Cloudy
2014-08-08,Mostly Sunny
2014-08-09,Partly Cloudy
2014-08-10,Partly Cloudy
2014-08-11,Mostly Cloudy
2014-08-12,Cloudy
2014-08-13,Mostly Cloudy
2014-08-14,Mostly Sunny
2014-08-15,Mostly Cloudy
2014-08-16,Mostly Cloudy
2014-08-17,Mostly Cloudy
2014-08-18,Mostly Sunny
2014-08-19,Partly Cloudy
2014-08-20,Partly Cloudy
2014-08-21,Mostly Cloudy
2014-08-22,Cloudy
2014-08-23,Mostly Cloudy
2014-08-24,Partly Cloudy
2014-08-25,Mostly Sunny
2014-08-26,Partly Cloudy
2014-08-27,Mostly Sunny
2014-08-28,Mostly Sunny
2014-08-29,Partly Cloudy
2014-08-30,Mostly Cloudy
2014-08-31,Cloudy
