Date,Weather
2014-07-01,Mostly Cloudy
2014-07-02,Thunderstorm
2014-07-03,Mostly Cloudy
2014-07-04,Cloudy
2014-07-05,Mostly Sunny
2014-07-06,Partly Cloudy
2014-07-07,Partly Cloudy
2014-07-08,Mostly Cloudy
2014-07-09,Mostly Cloudy
2014-07-10,Mostly Cloudy
2014-07-11,Mostly Cloudy
2014-07-12,Partly Cloudy
2014-07-13,Mostly Cloudy
2014-07-14,Cloudy
2014-07-15,Cloudy
2014-07-16,Cloudy
2014-07-17,Mostly Cloudy
2014-07-18,Mostly Cloudy
2014-07-19,Cloudy
2014-07-20,Cloudy
2014-07-21,Mostly Cloudy
2014-07-22,Partly Cloudy
2014-07-23,Partly Cloudy
2014-07-24,Cloudy
2014-07-25,Mostly Sunny
2014-07-26,Mostly Cloudy
2014-07-27,Mostly Cloudy
2014-07-28,Mostly Cloudy
2014-07-29,Mostly Cloudy
2014-07-30,Partly Cloudy
2014-07-31,Mostly Cloudy
