Date,Weather
2014-06-01,Mostly Cloudy
2014-06-02,Mostly Sunny
2014-06-03,Mostly Sunny
2014-06-04,Cloudy
2014-06-05,Scattered Showers
2014-06-06,Mostly Cloudy
2014-06-07,Mostly Sunny
2014-06-08,Mostly Cloudy
2014-06-09,Cloudy
2014-06-10,Cloudy
2014-06-11,Cloudy
2014-06-12,Cloudy
2014-06-13,Cloudy
2014-06-14,Mostly Cloudy
2014-06-15,Partly Cloudy
2014-06-16,Mostly Cloudy
2014-06-17,Mostly Cloudy
2014-06-18,Mostly Cloudy
2014-06-19,Cloudy
2014-06-20,Mostly Cloudy
2014-06-21,Partly Cloudy
2014-06-22,Mostly Cloudy
2014-06-23,Mostly Cloudy
2014-06-24,Mostly Sunny
2014-06-25,Cloudy
2014-06-26,Mostly Cloudy
2014-06-27,Mostly Cloudy
2014-06-28,Mostly Cloudy
2014-06-29,Mostly Cloudy
2014-06-30,Mostly Cloudy
