Date,Weather
2014-05-01,Scattered Showers
2014-05-02,Mostly Cloudy
2014-05-03,Mostly Cloudy
2014-05-04,Partly Cloudy
2014-05-05,Mostly Sunny
2014-05-06,Partly Cloudy
2014-05-07,Mostly Sunny
2014-05-08,Mostly Cloudy
2014-05-09,Mostly Cloudy
2014-05-10,Scattered Showers
2014-05-11,Mostly Sunny
2014-05-12,Mostly Cloudy
2014-05-13,Mostly Sunny
2014-05-14,Mostly Cloudy
2014-05-15,Mostly Cloudy
2014-05-16,Cloudy
2014-05-17,Mostly Sunny
2014-05-18,Partly Cloudy
2014-05-19,Mostly Sunny
2014-05-20,Mostly Sunny
2014-05-21,Partly Cloudy
2014-05-22,Partly Cloudy
2014-05-23,Partly Cloudy
2014-05-24,Partly Cloudy
2014-05-25,Mostly Sunny
2014-05-26,Mostly Sunny
2014-05-27,Mostly Sunny
2014-05-28,Partly Cloudy
2014-05-29,Mostly Cloudy
2014-05-30,Partly Cloudy
2014-05-31,Partly Cloudy
