Date,Weather
2015-04-1,Cloudy
2015-04-2,Sunny
2015-04-3,Cloudy
2015-04-4,Cloudy
2015-04-5,Cloudy
2015-04-6,Cloudy
2015-04-7,Cloudy
2015-04-8,Cloudy
2015-04-9,Cloudy
2015-04-10,Cloudy
2015-04-11,Cloudy
2015-04-12,Sunny
2015-04-13,Cloudy
2015-04-14,Cloudy
2015-04-15,Cloudy
2015-04-16,Cloudy
2015-04-17,Cloudy
2015-04-18,Cloudy
2015-04-19,Cloudy
2015-04-20,Showers
2015-04-21,Showers
2015-04-22,Cloudy
2015-04-23,Cloudy
2015-04-24,Cloudy
2015-04-25,Cloudy
2015-04-26,Cloudy
2015-04-27,Cloudy
2015-04-28,Sunny
2015-04-29,Cloudy
2015-04-30,Cloudy
