Date,Weather
2015-01-1,Cloudy
2015-01-2,Cloudy
2015-01-3,Showers
2015-01-4,Showers
2015-01-5,Cloudy
2015-01-6,Snow
2015-01-7,Cloudy
2015-01-8,Sunny
2015-01-9,Sunny
2015-01-10,Snow
2015-01-11,Sunny
2015-01-12,Showers
2015-01-13,Cloudy
2015-01-14,Cloudy
2015-01-15,Fair
2015-01-16,Rain
2015-01-17,Cloudy
2015-01-18,Cloudy
2015-01-19,Cloudy
2015-01-20,Cloudy
2015-01-21,Cloudy
2015-01-22,Cloudy
2015-01-23,Sunny
2015-01-24,Snow
2015-01-25,Cloudy
2015-01-26,Snow
2015-01-27,Snow
2015-01-28,Sunny
2015-01-29,Cloudy
2015-01-30,Snow
2015-01-31,Sunny
