Date,Weather
2015-06-1,Showers
2015-06-2,Showers
2015-06-3,Cloudy
2015-06-4,Cloudy
2015-06-5,Cloudy
2015-06-6,Cloudy
2015-06-7,Cloudy
2015-06-8,Cloudy
2015-06-9,Cloudy
2015-06-10,Cloudy
2015-06-11,Cloudy
2015-06-12,Cloudy
2015-06-13,Cloudy
2015-06-14,Cloudy
2015-06-15,Cloudy
2015-06-16,Cloudy
2015-06-17,Cloudy
2015-06-18,Cloudy
2015-06-19,Cloudy
2015-06-20,Cloudy
2015-06-21,Cloudy
2015-06-22,Cloudy
2015-06-23,Cloudy
2015-06-24,Cloudy
2015-06-25,Cloudy
2015-06-26,Cloudy
2015-06-27,Showers
2015-06-28,Cloudy
2015-06-29,Cloudy
2015-06-30,Cloudy
