Date,Weather
2015-03-1,Snow
2015-03-2,Cloudy
2015-03-3,Cloudy
2015-03-4,Showers
2015-03-5,Snow
2015-03-6,Sunny
2015-03-7,Cloudy
2015-03-8,Cloudy
2015-03-9,Sunny
2015-03-10,Showers
2015-03-11,Cloudy
2015-03-12,Sunny
2015-03-13,Cloudy
2015-03-14,Showers
2015-03-15,Cloudy
2015-03-16,Cloudy
2015-03-17,Cloudy
2015-03-18,Cloudy
2015-03-19,Cloudy
2015-03-20,Snow
2015-03-21,Cloudy
2015-03-22,Cloudy
2015-03-23,Sunny
2015-03-24,Sunny
2015-03-25,Cloudy
2015-03-26,Foggy
2015-03-27,Cloudy
2015-03-28,Cloudy
2015-03-29,Sunny
2015-03-30,Cloudy
2015-03-31,Showers
