Date,Weather
2014-09-01,Mostly Cloudy
2014-09-02,Mostly Cloudy
2014-09-03,Mostly Cloudy
2014-09-04,Mostly Sunny
2014-09-05,Partly Cloudy
2014-09-06,Mostly Cloudy
2014-09-07,Mostly Cloudy
2014-09-08,Mostly Cloudy
2014-09-09,Cloudy
2014-09-10,Mostly Cloudy
2014-09-11,Cloudy
2014-09-12,Mostly Cloudy
2014-09-13,Cloudy
2014-09-14,Mostly Cloudy
2014-09-15,Mostly Sunny
2014-09-16,Mostly Cloudy
2014-09-17,Mostly Sunny
2014-09-18,Partly Cloudy
2014-09-19,Partly Cloudy
2014-09-20,Mostly Cloudy
2014-09-21,Cloudy
2014-09-22,Mostly Cloudy
2014-09-23,Mostly Sunny
2014-09-24,Mostly Cloudy
2014-09-25,Scattered Showers
2014-09-26,Mostly Sunny
2014-09-27,Mostly Sunny
2014-09-28,Partly Cloudy
2014-09-29,Cloudy
2014-09-30,Cloudy
